treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,gas production
treatment company 10,-13.62,14135.0,7590.0,2018-03-01,operator 6,6215.0,1237.7744,38.76,20.0,8088.0,35192.75,0.1,0.01,0.23,,3.3,0.63,11200.75,6795.88,28.04,5630.0,,90.0,26.0,10194239.0,1.96,3292.077536643749
treatment company 13,,11839.0,5559.0,2012-07-01,operator 15,6077.0,3855.7927,146.49,1.0,2347.0,32818.92,0.43,0.02,0.33,0.86,4.68,0.59,13202.61,7034.19,31.14,,,74.0,17.0,1318492.0,0.57,534.5528106249999
treatment company 10,-43.779999,12670.0,7659.0,2015-08-01,operator 11,4470.0,841.6039999999999,3.66,9.0,2161.0,34789.16,0.52,,0.33,0.85,4.63,0.5,12901.65,7121.76,31.5,4656.0,6358.0,70.0,22.0,4423479.0,0.88,1462.23238089375
treatment company 8,-48.919998,15961.0,8119.0,2015-03-01,operator 12,7012.0,4978.5923,0.43,8.0,0.0,30376.98,0.68,0.02,0.33,,5.08,0.4,13595.4,6955.35,30.83,6333.0,7759.0,84.0,36.0,14295919.0,1.29,1723.793404428125
treatment company 7,-36.349998,11290.0,6626.0,2014-01-01,operator 1,4293.0,1015.5507,16.09,11.0,0.0,30817.05,0.59,0.02,0.21,0.7,4.54,0.47,13480.95,6797.26,26.28,4298.0,,97.0,14.0,6906454.0,1.29,1326.8841873124998
treatment company 12,-27.059998999999998,13250.0,7461.0,2013-01-01,operator 7,4965.0,,6.11,15.0,0.0,34599.59,1.61,0.13,0.2,0.43,5.17,0.8,12014.55,7133.44,29.61,5618.0,,87.0,18.0,11937619.0,1.88,1368.4569301374995
treatment company 2,-42.77,15257.0,5985.0,2016-01-01,operator 7,8635.0,3918.0396,2.99,3.0,3474.0,35375.84,0.46,0.02,0.34,0.88,4.67,0.59,13207.6,7038.37,31.16,4391.0,,96.0,45.0,12346968.0,1.14,615.8663270687498
treatment company 1,-40.689999,19950.0,6495.0,2018-06-01,operator 1,13087.0,,2.88,5.0,0.0,35056.46,0.26,0.01,0.33,,4.82,0.53,13532.06,7016.04,30.97,4639.0,,99.0,65.0,17760768.0,1.25,2221.9847877
treatment company 10,-40.669998,18485.0,7348.0,2017-11-01,operator 11,10887.0,4501.5898,217.63,1.0,0.0,30319.59,0.55,0.03,0.33,,4.58,0.49,13018.73,7104.16,31.39,5357.0,,70.0,53.0,10538626.0,0.87,2148.5867683687493
treatment company 14,-57.970001,13602.0,7664.0,2016-05-01,operator 4,5045.0,1310.5488,2.73,8.0,0.0,34653.08,0.34,0.03,0.33,,4.64,0.63,12985.89,7053.9,31.3,5285.0,,89.0,31.0,7526310.0,0.9,2147.7213237125
treatment company 5,-62.529999,10720.0,7519.0,2013-07-01,operator 8,2783.0,746.64252,49.24,4.0,3083.0,31172.16,0.43,0.02,0.33,,4.67,0.59,13197.45,7032.27,31.14,5509.0,,84.0,18.0,,0.75,411.26551416125
treatment company 4,-46.91,14535.0,6401.0,2017-07-01,operator 7,7822.0,2213.3115,22.36,5.0,4491.0,34775.43,0.67,0.03,0.27,1.0,5.2,0.07,13046.09,7045.17,29.3,4155.0,5399.0,95.0,34.0,9105323.0,1.21,1063.61989193125
treatment company 10,-42.790001000000004,15610.0,6602.0,2017-09-01,operator 4,8758.0,3844.8215,31.28,16.0,8555.0,35579.35,0.47,0.02,0.33,,4.64,0.57,13160.76,7056.25,31.21,4477.0,,100.0,53.0,13183743.0,1.04,1507.253421575
treatment company 3,-52.349998,11304.0,6589.0,2017-04-01,operator 1,4390.0,1173.7072,19.31,15.0,6667.0,32769.21,1.16,0.06,0.3,,4.97,0.44,12645.83,6761.8,28.31,5188.0,,96.0,21.0,,1.35,2790.2823092375
treatment company 5,-40.669998,11816.0,6936.0,2016-02-01,operator 16,4630.0,3062.8435,9.37,20.0,10228.0,35258.45,0.99,0.04,0.34,0.51,3.81,1.56,12622.5,6581.19,29.95,4860.0,5942.0,78.0,23.0,4160750.0,0.73,1213.2435061637498
treatment company 7,-25.700001,13779.0,8487.0,2014-07-01,operator 6,5052.0,,12.24,2.0,2791.0,34538.91,1.3,0.09,0.21,,2.88,0.45,11969.87,6822.7,28.03,5271.0,,81.0,27.0,9445394.0,1.29,4185.29434189375
treatment company 1,-13.22,11845.0,6538.0,2018-09-01,operator 17,4935.0,926.94214,190.95,2.0,530.0,30847.96,0.78,0.06,0.26,0.77,5.16,0.45,13061.34,6774.88,27.22,4374.0,6668.0,80.0,25.0,8834125.0,0.95,1999.762949975
treatment company 5,-39.77,16773.0,7024.0,2015-03-01,operator 18,8725.0,665.36377,24.95,7.0,5825.0,31925.1,0.46,0.02,0.33,0.8,4.69,0.59,13229.9,7035.71,31.14,5062.0,,93.0,38.0,8670911.0,0.99,1959.23894643125
treatment company 12,-41.130001,18644.0,7949.0,2018-08-01,operator 4,10445.0,3714.8999,83.05,3.0,4386.0,33220.79,0.23,0.04,0.34,,4.38,0.66,13292.28,6827.72,30.54,5471.0,,99.0,53.0,23217020.0,1.43,4360.2283670000015
treatment company 4,-29.66,13722.0,7867.0,2015-10-01,operator 4,5559.0,,8.74,8.0,1235.0,35185.98,0.18,0.03,0.33,,4.82,0.84,12864.27,7008.96,31.34,5938.0,,89.0,39.0,9530856.0,0.84,1855.8065839625
treatment company 12,-59.740002000000004,12646.0,5897.0,2014-01-01,operator 19,6317.0,3535.9065,7.15,3.0,2969.0,34228.79,0.56,0.01,0.33,,4.76,0.41,13455.52,6921.39,30.79,3995.0,4364.0,79.0,22.0,7561729.0,0.92,719.9502924937499
treatment company 1,-30.219998999999998,14390.0,8012.0,2011-01-01,operator 20,6050.0,2023.3851,4.56,11.0,6588.0,34112.47,1.0,0.06,0.29,,6.08,0.42,11723.42,7030.38,31.58,5964.0,,80.0,16.0,5624710.0,1.23,1389.3674500249995
treatment company 5,-80.550003,11065.0,6732.0,2013-07-01,operator 3,4053.0,900.47876,19.74,13.0,6284.0,35188.37,0.79,,0.32,,4.73,0.48,12703.22,7485.87,32.72,3951.0,,97.0,13.0,,1.37,681.9005685437502
treatment company 1,-45.759997999999996,13014.0,8048.0,2011-07-01,operator 20,4581.0,4908.3149,23.2,5.0,3745.0,34899.94,0.99,0.06,0.3,0.79,6.43,0.36,12322.49,7021.94,31.62,,,93.0,19.0,8046568.0,1.55,792.3838722437498
treatment company 8,-27.120001000000002,11315.0,6783.0,2013-08-01,operator 4,4064.0,,12.36,10.0,0.0,35230.46,0.5,0.02,0.34,,4.02,0.51,12738.09,6708.98,30.23,4829.0,6851.0,82.0,15.0,5885261.0,1.08,344.03956177125
treatment company 11,-15.51,14458.0,7619.0,2014-01-01,operator 6,6759.0,4981.7529,12.96,5.0,4029.0,33437.86,0.92,,0.23,0.82,4.36,0.72,11627.02,6782.17,26.97,6105.0,9215.0,79.0,10.0,8512240.0,1.35,2944.13021443125
treatment company 3,-11.8,14376.0,6817.0,2016-07-01,operator 5,7023.0,2521.2019,34.88,7.0,5106.0,32719.34,1.32,0.06,0.34,,3.93,1.93,12309.91,6475.37,29.75,4991.0,,75.0,35.0,10709935.0,0.91,1736.793810075
treatment company 9,-9.0600004,12768.0,7530.0,2018-11-01,operator 6,4933.0,2936.9568,13.21,9.0,0.0,34653.08,1.48,0.09,0.21,,3.78,0.49,11590.07,6817.36,27.63,5288.0,,86.0,21.0,8172444.0,1.86,2798.7594330125
treatment company 4,21.959999,12874.0,7535.0,2018-08-01,operator 14,5089.0,1889.394,4.65,3.0,2152.0,34570.38,0.14,0.03,0.25,0.94,3.64,0.62,11117.56,6785.57,28.32,5848.0,,96.0,27.0,13000754.0,1.11,5463.96809813125
treatment company 5,-19.74,11123.0,6928.0,2013-04-01,operator 1,3622.0,2000.4401,6.3,8.0,4611.0,34469.8,1.11,0.05,0.29,0.69,4.97,0.44,12313.56,6764.83,28.27,4667.0,,82.0,15.0,,0.86,2002.2448419875
treatment company 1,-21.41,18873.0,7136.0,2017-11-01,operator 11,11487.0,2625.7485,0.63,7.0,0.0,35358.4,0.7,0.04,0.33,,4.88,0.32,12742.32,7223.24,31.8,5030.0,5706.0,70.0,50.0,,0.88,5086.82250220625
treatment company 3,-24.52,13700.0,7045.0,2018-03-01,operator 1,6405.0,792.4599,315.66,1.0,0.0,30117.77,0.61,0.02,0.33,0.87,5.06,0.46,13564.11,6970.37,30.88,5022.0,,97.0,44.0,12433952.0,1.58,1843.10344768125
treatment company 13,-35.84,10647.0,5514.0,2013-07-01,operator 15,4807.0,4658.2725,7.55,18.0,9655.0,34811.38,0.84,0.07,0.19,,5.38,0.58,12578.92,7054.73,27.96,3346.0,,93.0,14.0,4894790.0,1.27,508.942190123125
treatment company 2,-23.110001,14589.0,7366.0,2013-07-01,operator 2,6646.0,1513.0698,37.15,3.0,0.0,34661.95,1.88,0.21,0.21,,5.75,0.8,11413.49,7009.28,28.77,4110.0,,80.0,19.0,7663205.0,1.45,1744.47064675
treatment company 12,-44.490002000000004,12191.0,6911.0,2015-02-01,operator 21,5089.0,946.1578400000001,15.04,6.0,0.0,32140.21,0.44,0.03,0.31,,4.61,0.5,12500.8,7084.65,31.4,4832.0,7636.0,99.0,24.0,,1.38,504.42953459124993
treatment company 3,-30.52,15669.0,7033.0,2018-03-01,operator 5,8411.0,2168.4849,7.43,17.0,0.0,31568.71,1.25,0.05,0.34,,3.94,1.85,12399.56,6497.98,29.78,4443.0,,74.0,43.0,21520860.0,1.13,3146.9504226312492
treatment company 10,-29.75,18314.0,6722.0,2018-09-01,operator 2,11613.0,641.0025,26.27,5.0,277.0,27288.09,1.58,,0.2,,6.42,0.52,11801.52,6991.71,28.23,5501.0,,94.0,51.0,23130026.0,1.96,2112.70376829375
treatment company 15,-75.949997,11707.0,5846.0,2015-09-01,operator 19,5666.0,1759.7357,11.83,5.0,4108.0,33045.51,0.06,0.02,0.34,0.81,4.61,0.73,13172.87,6895.53,30.78,4401.0,,81.0,22.0,9032087.0,0.93,616.3775066187502
treatment company 4,-19.77,15515.0,,2018-07-01,operator 4,6594.0,4620.7266,19.11,21.0,10662.0,33781.33,0.34,0.05,0.34,0.86,4.34,0.72,13175.91,6793.66,30.44,5136.0,9278.0,92.0,22.0,15053610.0,0.71,2277.4591129312507
treatment company 10,-41.349998,9700.0,6317.0,2013-07-01,operator 11,3124.0,4388.9497,4.68,21.0,8105.0,33069.47,0.4,0.02,0.33,0.7,4.8,0.62,13278.1,7125.15,31.3,4189.0,6077.0,70.0,15.0,6597559.0,1.16,451.9080888125
treatment company 12,-55.849998,12560.0,5810.0,2014-07-01,operator 19,6309.0,2383.8379,16.72,23.0,8416.0,34723.19,0.5,0.02,0.33,,4.83,0.56,13280.73,7014.03,31.04,4362.0,,82.0,28.0,7654300.0,0.86,869.0764800562498
treatment company 9,-30.030001000000002,15575.0,9050.0,2015-07-01,operator 11,6229.0,421.83907999999997,13.07,21.0,10586.0,32939.52,0.89,0.05,0.28,,4.24,0.68,11800.98,7090.25,31.75,,,71.0,33.0,4929437.0,1.02,640.2543161124999
treatment company 7,-8.0699997,14144.0,8637.0,2013-08-01,operator 11,4625.0,3859.6321,14.22,7.0,5799.0,33543.38,0.36,0.03,0.25,,4.63,0.62,11834.59,7094.11,31.09,5871.0,8043.0,68.0,24.0,2742635.0,1.09,2887.7539591125
treatment company 10,,11723.0,6447.0,2013-07-01,operator 11,4587.0,,142.57,6.0,10244.0,34770.84,0.63,,0.34,,5.15,0.4,13588.36,6953.62,30.83,4186.0,,69.0,23.0,9096222.0,1.13,853.75930126875
treatment company 16,-46.709998999999996,16580.0,7924.0,2016-10-01,operator 4,7670.0,4935.4126,20.14,9.0,0.0,34603.7,0.17,0.03,0.33,,4.72,0.78,12929.02,7001.5,31.21,5629.0,9448.0,98.0,36.0,10211621.0,0.97,2205.1976268062494
treatment company 10,-39.529999,16584.0,7751.0,2017-10-01,operator 4,8583.0,1991.8982,37.94,29.0,17012.0,34634.34,1.35,0.04,0.21,0.9,5.11,0.62,12712.86,7072.03,29.62,6056.0,,100.0,28.0,10067031.0,1.3,1383.7271590812502
treatment company 1,-30.91,15789.0,6422.0,2018-10-01,operator 5,9045.0,2209.8936,110.16,3.0,4477.0,33261.49,1.29,0.05,0.34,,3.87,1.89,12377.37,6502.8,29.8,4192.0,,70.0,46.0,18537600.0,1.1,3026.2334318125
treatment company 9,-44.220001,14361.0,5652.0,2018-06-01,operator 22,8459.0,4213.9629,19.62,11.0,1561.0,31078.71,0.52,0.02,0.34,,4.44,0.27,13487.18,6854.06,30.59,4419.0,5305.0,95.0,54.0,19765446.0,1.08,1903.93690049375
treatment company 4,-24.040001,17718.0,8709.0,2019-02-01,operator 7,8349.0,1416.6613,6.15,5.0,3247.0,34752.89,0.43,0.02,0.33,,4.72,0.59,13263.02,7033.37,31.11,5543.0,7175.0,82.0,42.0,,0.86,4228.464636475
treatment company 5,-51.439999,17530.0,7216.0,2016-01-01,operator 8,10107.0,995.42365,208.1,1.0,0.0,35185.42,0.51,0.02,0.33,,4.78,0.57,13333.03,7015.97,31.05,4672.0,,90.0,54.0,17751614.0,1.13,2756.671721168749
treatment company 5,-32.619999,12725.0,7463.0,2012-01-01,operator 8,4806.0,,0.56,9.0,4056.0,34808.3,1.24,0.04,0.32,,4.85,0.96,12586.4,7454.69,32.84,5495.0,6529.0,97.0,17.0,6612626.0,1.04,1131.5888383062495
treatment company 1,-40.09,15286.0,6441.0,2017-04-01,operator 5,8306.0,2075.7163,173.02,1.0,4004.0,34656.74,0.48,0.02,0.33,,4.65,0.58,13183.12,7057.25,31.21,3165.0,5690.0,78.0,41.0,20911024.0,1.14,3004.78569309375
treatment company 3,-50.709998999999996,12927.0,6546.0,2018-06-01,operator 1,5961.0,997.46918,1.35,3.0,0.0,34551.73,0.5,0.02,0.33,0.78,4.74,0.6,13270.21,7043.91,31.14,4867.0,,89.0,29.0,11639140.0,1.47,2922.8288679125008
treatment company 2,-10.67,10965.0,5778.0,2011-07-01,operator 2,4711.0,2782.4092,2.14,16.0,5181.0,34897.14,1.18,,0.2,,6.46,0.45,12136.41,6999.37,27.91,4535.0,,82.0,13.0,4828227.0,1.23,1243.10183045625
treatment company 8,-28.91,12517.0,5926.0,2011-01-01,operator 23,5747.0,4484.1367,19.82,6.0,0.0,35313.77,0.36,,0.33,,4.71,0.59,13260.93,6994.61,31.03,4427.0,,80.0,16.0,6631582.0,1.34,886.19462136875
treatment company 13,-14.81,13900.0,5778.0,2013-07-01,operator 24,6938.0,2296.178,3.59,9.0,4149.0,34246.32,0.18,0.02,0.33,,4.64,0.67,13309.81,6919.51,30.8,4177.0,,79.0,22.0,7722081.0,1.27,1396.6484044
treatment company 12,-18.629998999999998,12593.0,8178.0,2011-01-01,operator 2,4133.0,,15.13,19.0,9516.0,35039.02,0.32,0.02,0.34,,4.68,0.62,13231.58,6984.64,31.02,6209.0,,73.0,12.0,4256000.0,1.32,1255.6341393125
treatment company 10,,13706.0,7912.0,2015-11-01,operator 4,5323.0,684.65454,9.21,3.0,0.0,34636.68,0.2,,0.34,0.87,4.66,0.64,13231.59,6940.83,30.89,5122.0,,98.0,34.0,8670784.0,0.91,2084.0292874312504
treatment company 15,-82.589996,12540.0,6227.0,2016-03-01,operator 19,5576.0,3399.4922,3.73,8.0,0.0,34546.34,0.49,0.03,0.33,,4.65,0.57,13151.12,7038.62,31.16,3709.0,,81.0,25.0,,0.92,595.5361955187499
treatment company 5,-6.4899998,13048.0,8599.0,2016-02-01,operator 11,4199.0,987.5002400000001,22.0,16.0,0.0,34735.75,0.86,0.05,0.32,,5.58,0.78,12524.46,7092.89,32.43,5123.0,6833.0,71.0,19.0,3321123.0,1.6,650.6824318937498
treatment company 12,,17884.0,8688.0,2017-10-01,operator 25,8946.0,2003.192,41.38,12.0,8492.0,34732.74,1.72,0.08,0.26,,4.01,0.65,11551.76,6842.7,28.15,5191.0,,81.0,52.0,23007504.0,1.32,2437.0734207625
treatment company 3,-87.25,11676.0,6610.0,2017-10-01,operator 4,2628.0,700.13141,33.81,5.0,2953.0,34681.88,0.4,0.02,0.33,,4.7,0.58,13221.09,7017.72,31.1,3120.0,8872.0,94.0,13.0,,1.24,477.6320969314525
treatment company 10,-32.279999,17649.0,7939.0,2018-11-01,operator 4,8623.0,2138.8274,5.51,22.0,8108.0,32889.42,0.44,0.02,0.33,,,0.59,13187.58,7039.6,31.16,5087.0,,98.0,44.0,,1.4,3782.30512914375
treatment company 8,-53.18,11645.0,7980.0,2014-07-01,operator 26,3564.0,1607.8577,353.76,1.0,4086.0,32176.92,1.08,0.05,0.32,0.68,5.42,0.82,12599.2,7379.32,32.68,5032.0,,90.0,11.0,4121600.0,0.97,1010.51355854375
treatment company 12,2.48,12520.0,8573.0,2013-07-01,operator 9,3669.0,2719.2476,16.06,4.0,2297.0,34764.4,0.88,0.05,0.28,,4.12,0.47,11642.67,7067.2,31.58,6163.0,9986.0,92.0,20.0,5904593.0,1.37,873.4114740312499
treatment company 1,-49.650002,15653.0,5765.0,2017-10-01,operator 13,9280.0,3902.2336,5.53,7.0,4655.0,27931.42,0.26,,0.34,,4.68,0.62,13241.47,6972.52,30.98,3788.0,,89.0,46.0,24777582.0,1.02,1514.90027426875
treatment company 5,-46.98,11903.0,5475.0,2013-07-01,operator 15,5526.0,,35.35,12.0,4633.0,31163.96,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,3424.0,,89.0,16.0,5368545.0,1.22,1562.27269400625
treatment company 5,-1.71,13295.0,7286.0,2015-02-01,operator 11,5440.0,4428.6445,41.17,5.0,4278.0,28723.7,0.56,0.03,0.33,0.79,4.58,0.5,13056.54,7102.17,31.36,5529.0,,70.0,28.0,8293600.0,0.99,1191.8360630425002
treatment company 4,-27.1,10777.0,6054.0,2012-07-01,operator 1,4143.0,879.6574699999999,0.33,32.0,13729.0,34692.69,0.54,0.02,0.21,0.75,4.7,0.42,13552.74,6795.61,26.41,4634.0,5956.0,99.0,11.0,5450259.0,1.26,2509.0997802437496
treatment company 8,-22.25,12312.0,6136.0,2012-07-01,operator 6,6041.0,2852.9058,4.69,3.0,0.0,31180.98,0.9,0.05,0.22,,4.84,0.72,10938.52,6779.6,26.01,4172.0,,73.0,11.0,7750996.0,1.3,1272.3452916812496
treatment company 8,-55.029999,13707.0,6503.0,2016-01-01,operator 26,6553.0,791.7403,73.24,1.0,1920.0,29023.09,0.34,0.02,0.34,0.81,4.65,0.59,13166.69,7032.5,31.15,4831.0,6189.0,88.0,32.0,8536977.0,0.79,781.81924731875
treatment company 12,-35.43,12021.0,6544.0,2012-07-01,operator 1,5176.0,5143.1685,6.01,7.0,0.0,31143.43,0.52,0.01,0.21,0.81,4.25,0.55,13071.26,6796.49,26.0,4780.0,,98.0,13.0,3644763.0,0.64,1354.7561013062498
